:END_ID(node),:START_ID(node),:TYPE,name
2,1,英文代号,英文代号
1,2,干员代号,干员代号
3,1,日文代号,日文代号
1,3,干员代号,干员代号
1,4,绘制,绘制
4,1,绘制者,绘制者
1,5,配音,配音
5,1,配音者,配音者
6,1,性别,性别
1,6,干员代号,干员代号
7,1,星座,星座
1,7,干员代号,干员代号
8,1,诞生月,诞生月
1,8,干员代号,干员代号
9,1,诞生地,诞生地
1,9,干员代号,干员代号
10,1,种族,种族
1,10,干员代号,干员代号
11,1,身高,身高
1,11,干员代号,干员代号
12,1,物理强度,物理强度
1,12,干员代号,干员代号
13,1,战场机动,战场机动
1,13,干员代号,干员代号
14,1,生理耐受,生理耐受
1,14,干员代号,干员代号
15,1,战术规划,战术规划
1,15,干员代号,干员代号
16,1,战斗技巧,战斗技巧
1,16,干员代号,干员代号
17,1,源石技艺适应性,源石技艺适应性
1,17,干员代号,干员代号
18,1,是否感染,是否感染
1,18,干员代号,干员代号
19,1,体细胞与源石融合率,体细胞与源石融合率
1,19,干员代号,干员代号
20,1,血液源石结晶密度,血液源石结晶密度
1,20,干员代号,干员代号
21,1,信物,信物
1,21,干员代号,干员代号
22,1,职业,职业
1,22,干员代号,干员代号
24,1,作战范围,作战范围
1,24,干员代号,干员代号
30,1,再部署时长,再部署时长
1,30,干员代号,干员代号
31,1,初始费用,初始费用
1,31,干员代号,干员代号
32,1,最终费用,最终费用
1,32,干员代号,干员代号
33,1,最大阻挡数,最大阻挡数
1,33,干员代号,干员代号
34,1,攻击速度,攻击速度
1,34,干员代号,干员代号
35,1,生命上限,生命上限
1,35,干员代号,干员代号
36,1,攻击力,攻击力
1,36,干员代号,干员代号
37,1,防御力,防御力
1,37,干员代号,干员代号
38,1,法术抗性,法术抗性
1,38,干员代号,干员代号
39,1,星级,星级
1,39,干员代号,干员代号
40,1,限定情况,限定情况
1,40,干员代号,干员代号
41,1,上线时间,上线时间
1,41,干员代号,干员代号
26,1,特性,特性
1,26,特性,特性
25,1,能力标签,能力标签
1,25,能力标签,能力标签
23,1,活跃领域,活跃领域
1,23,活跃领域,活跃领域
28,1,潜能,潜能
1,28,潜能,潜能
29,1,潜能,潜能
1,29,潜能,潜能
27,1,潜能,潜能
1,27,潜能,潜能
43,42,英文代号,英文代号
42,43,干员代号,干员代号
44,42,日文代号,日文代号
42,44,干员代号,干员代号
42,45,绘制,绘制
45,42,绘制者,绘制者
42,46,配音,配音
46,42,配音者,配音者
47,42,星座,星座
42,47,干员代号,干员代号
48,42,诞生月,诞生月
42,48,干员代号,干员代号
49,42,诞生地,诞生地
42,49,干员代号,干员代号
50,42,种族,种族
42,50,干员代号,干员代号
51,42,身高,身高
42,51,干员代号,干员代号
52,42,最高速度,最高速度
42,52,干员代号,干员代号
53,42,爬坡能力,爬坡能力
42,53,干员代号,干员代号
54,42,制动效能,制动效能
42,54,干员代号,干员代号
55,42,通过性,通过性
42,55,干员代号,干员代号
56,42,续航,续航
42,56,干员代号,干员代号
57,42,结构稳定性,结构稳定性
42,57,干员代号,干员代号
58,42,信物,信物
42,58,干员代号,干员代号
59,42,职业,职业
42,59,干员代号,干员代号
60,42,作战范围,作战范围
42,60,干员代号,干员代号
64,42,再部署时长,再部署时长
42,64,干员代号,干员代号
65,42,初始费用,初始费用
42,65,干员代号,干员代号
66,42,最终费用,最终费用
42,66,干员代号,干员代号
33,42,最大阻挡数,最大阻挡数
42,33,干员代号,干员代号
67,42,攻击速度,攻击速度
42,67,干员代号,干员代号
68,42,生命上限,生命上限
42,68,干员代号,干员代号
69,42,攻击力,攻击力
42,69,干员代号,干员代号
70,42,防御力,防御力
42,70,干员代号,干员代号
71,42,法术抗性,法术抗性
42,71,干员代号,干员代号
72,42,星级,星级
42,72,干员代号,干员代号
40,42,限定情况,限定情况
42,40,干员代号,干员代号
